(Level 1),(Level 2),(Level 3),(Level 4),(Level 5),(Level 6),Unit Type,Definition,Literature Cited,CMECS Version,Component Code,Unit Code,IRI (NCEI base URL + Term ID),Unit ID,Unit Status,Type of Change,Implementation Guidance,Notes
Aquatic Setting,,,,,,CMECS Setting: Aquatic Setting,"The Aquatic Setting (AS) is comprised of three hierarchical levels (System, Subsystem and Tidal Zone) and provides the context for all CMECS components. It distinguishes oceans, estuaries and lakes, deep and shallow waters and submerged and intertidal environments within which more refined classification of geological, physicochemical, and biological information can be organized.",,1.1.2,A,None,https://w3id.org/CMECS/CMECS_00000034,CMECS_00000034,Original Unit,,,
Aquatic Setting,Lacustrine System,,,,,CMECS Setting: Aquatic Setting System,"The CMECS Lacustrine System includes (a) all deep-water areas of the Great Lakes and (b) shoreline areas of the Great Lakes with less than 30 percent areal coverage by trees, shrubs, and persistent emergents. In areas with a greater percentage of vegetative cover, the appropriate Palustrine FGDC-STD-004 should be used for classification. Where a river enters or leaves a lake, the extension of the lacustrine shoreline forms the riverine-lacustrine boundary.","FGDC (Federal Geographic Data Committee). 1996b. FGDC-STD-004. Classification of Wetlands and Deepwater Habitats of the United States. Reston, VA: Federal Geographic Data Committee.",1.1.2,A,1,https://w3id.org/CMECS/CMECS_00000453,CMECS_00000453,Original Unit,,,
Aquatic Setting,Lacustrine System,Lacustrine Littoral Subsystem,,,,CMECS Setting: Aquatic Setting Subsystem,"The Littoral Subsystem includes shallow habitats in the Lacustrine System. The shoreward boundary of this subsystem extends to the landward limit of non-persistent emergents. The lakeward boundary includes all waters to a depth of 2 meters below Mean Lower Low Water (MLLW), or to the maximum extent of non-persistent emergents, whichever depth is greater.",,1.1.2,A,1.1,https://w3id.org/CMECS/CMECS_00000452,CMECS_00000452,Original Unit,,,
Aquatic Setting,Lacustrine System,Lacustrine Limnetic Subsystem,,,,CMECS Setting: Aquatic Setting Subsystem,"The Limnetic Subsystem includes all deep-water habitats within the Lacustrine System. ""Deep-water habitats"" are those that occur at depths greater than 2 meters below MLLW—unless there are non-persistent emergents in those areas. In which case, ""deep-water habits"" are those beyond the limit of occurrence of non-persistent emergents.",,1.1.2,A,1.2,https://w3id.org/CMECS/CMECS_00000451,CMECS_00000451,Original Unit,,,
Aquatic Setting,Estuarine System,,,,,CMECS Setting: Aquatic Setting System,"The Estuarine System is defined by salinity and geomorphology. This System includes tidally influenced waters that (a) have an open-surface connection to the sea, (b) are regularly diluted by freshwater runoff from land, and (c) exhibit some degree of land enclosure. The Estuarine System extends upstream to the head of tide and seaward to the mouth of the estuary. Head of tide is identified in accordance with the Metadata Profile for Shoreline Data, FGDC-STD-001.2-2001 (FGDC 2001) as the inland or upstream limit of water affected by a tide of at least 0.2 foot (0.06 meter) amplitude. The mouth of the estuary is defined by an imaginary line connecting the seaward-most points of land that enclose the estuarine water mass at MLLW. Islands are included as headlands if they contribute significantly to the enclosure. Estuaries occur on continents or on islands and include waters of any depth. In CMECS they are defined as waters bounded by significant enclosure by land, having a direct connection to the sea and receiving measurable freshwater input to some part of the enclosed system during an average year. Salinity, a dimensionless conductivity ratio as measured on the practical salinity scale (PSS), was established by the IAPSO (International Association for the Physical Sciences of the Oceans) in 1978 (UNESCO 1981), and is of prime importance in distinguishing freshwater from saline estuarine environments and differentiating among estuarine and marine environments of differing salinity. The range of salinity considered in the CMECS classification extends from zero to hyperhaline (>40). Oceanic salinities normally encountered throughout the world range from 30-40 on the PSS scale. Highly saline negative estuaries such as Laguna Madre and Florida Bay may experience salinity as high as 70-80. Extreme environments like the Dead Sea have salinity near 300. The tidally influenced part of the estuary may occur in a fresh reach where salinity is <0.5. According to FGDC-STD-004, this area would be classified within the Riverine System. However in CMECS, the Tidal Riverine area is considered to be an integral part of the ecology of the estuarine ecosystem, so it is classified within the Estuarine System instead.

The Estuarine System has four subsystems: Coastal, Open Water, Tidal Riverine Coastal, and Tidal Riverine Open Water.","FGDC (Federal Geographic Data Committee). 2001. FGDC-STD-001.2-2001. Metadata Profile for Shoreline Data. Reston, VA: Federal Geographic Data Committee.|UNESCO (United Nations Educational, Scientific and Cultural Organization). 1981. “The Practical Salinity Scale 1978 and he International Equation of State of Seawater 1980.” Appendix I, Tenth Report of the Joint Panel on Oceanographic Tables and Standards. Paris: UNESCO. UNESCO Technical Papers in Marine Science No. 36.",1.1.2,A,2,https://w3id.org/CMECS/CMECS_00000311,CMECS_00000311,Original Unit,,,
Aquatic Setting,Estuarine System,Estuarine Coastal Subsystem,,,,CMECS Setting: Aquatic Setting Subsystem,"The Estuarine Coastal Subsystem extends from the supratidal zone at the land margin up to the 4 meter depth contour in waters that have salinity greater than 0.5 (during the period of average annual low flow). The Estuarine Coastal Subsystem would be considered the shallow perimeter in a deeper estuary, although many estuaries may be entirely less than 4 meters deep and be classified as completely in the Coastal Subsystem. The 4 meter contour was selected as a cutoff between ""coastal"" and ""offshore"" estuarine waters because it identifies (somewhat arbitrarily) a region that is both shallow and generally in close proximity to the shore, making the substrate-to-water volume ratio here the highest in the entire estuary. A convening of experts delineated this 4 meter contour as described in Reilly, Spagnolo, and Ambrogio (1999) as important in both an ecological and a regulatory sense in estuarine systems and CMECS has adopted it to emphasize the significant human and natural processes that occur there. The high wetland-water ration and pelagic-benthic connectivity makes the Estuarine Coastal Subsystem an extremely dynamic and active area in terms of hydrodynamics, geology, and biology. It is this area in shallow coastal waters where maximum interaction between estuarine waters, and adjacent wetlands or developed shoreline occurs and often where intense juxtaposition of human activity and the natural system occurs. Watershed, point and non-point inputs to the estuary are often maximal in this shallow zone. Because the Coastal Subsystem tends to receive an abundance of light, these waters and bottom areas are usually sites of high primary production. In water columns, shallow waters typically support high phytoplankton productivity while shallow water bottoms are covered in highly productive microphytobenthos, macroalgae and/or rooted macrophytes and their attached epiphytic communities. As regions of high primary production, shallow waters attract an abundance of higher trophic level organisms that feed on plants and on their grazer communities. Strong physical subsidies from flowing waters and wind stresses create waves and currents that generally maintain the shallow waters in a well-oxidized state. Surface waters of the Coastal Subsystem tend to be well-mixed and are affected by strong physical processes that impact the bottom: resuspending sediments, reducing light and altering spectral characteristics of the light climate. The estuarine bottom in shallow waters is also subject to frequent wind-induced reworking and transport of sediments and dynamic bedforms.","Reilly, F., Jr., R. Spagnolo, and E. Ambrogio. 1999. “Marine and Estuarine Shallow Water Science and Management: The Interrelationship among Habitats and Their Management.” Estuaries 22 (3B): 731–734.",1.1.2,A,2.1,https://w3id.org/CMECS/CMECS_00000300,CMECS_00000300,Original Unit,,,
Aquatic Setting,Estuarine System,Estuarine Coastal Subsystem,Estuarine Coastal Subtidal Tidal Zone,,,CMECS Setting: Aquatic Setting Tidal Zone,The substrate is generally continuously submerged in this zone and includes those areas below MLLW.,,1.1.2,A,2.1.1,https://w3id.org/CMECS/CMECS_00000301,CMECS_00000301,Original Unit,,,
Aquatic Setting,Estuarine System,Estuarine Coastal Subsystem,Estuarine Coastal Intertidal Tidal Zone,,,CMECS Setting: Aquatic Setting Tidal Zone,The substrate in this zone is regularly and periodically exposed and flooded by tides. This zone extends from MLLW to Mean Higher High Water (MHHW). The Coastal Intertidal is exposed regularly to the air by tidal action.,,1.1.2,A,2.1.2,https://w3id.org/CMECS/CMECS_00000297,CMECS_00000297,Original Unit,,,
Aquatic Setting,Estuarine System,Estuarine Coastal Subsystem,Estuarine Coastal Supratidal Tidal Zone,,,CMECS Setting: Aquatic Setting Tidal Zone,"This zone includes areas above MHHW; areas in this zone are affected by wave splash and overwash. It does not include areas affected only by wind-driven spray, which may extend further inland.",,1.1.2,A,2.1.3,https://w3id.org/CMECS/CMECS_00000302,CMECS_00000302,Original Unit,,,
Aquatic Setting,Estuarine System,Estuarine Open Water Subsystem,,,,CMECS Setting: Aquatic Setting Subsystem,"The Estuarine Open Water Subsystem includes all waters of the Estuarine System with a total depth greater than 4 meters, exclusive of those waters designated Tidal Riverine Open Water. The Open Water Subsystem is subject to a number of physical factors that make it distinct from the Coastal Subsystem, including reduced air-water exchange, potentially reduced light at depth, reduced physical impact from waves and surface currents and reduced interaction between the water column and the bottom. Moreover, because of the formation of stratified layers in the Estuarine System, the Open Water Subsystem is often ""capped"" by a relatively strong density or stability gradient that distinctly separates the lower water column from the upper water column, separated by a zone of transition (such as a pycnocline, halocline, or thermocline). The Open Water Subsystem may be heterotrophic, because it often acts as a receiving basin for organic material settling from the shallower, better lit surface waters, especially when the waters are stratified and form shallow flanks of the water body. At times, this role as a heterotrophic zone may support high rates of respiration (relative to production) and therefore consume much of the available oxygen and lead to the formation of hypoxic or anoxic zones, generally in the deeper parts of these waters. Additionally, stratification and the mechanics of estuarine circulation often promote the formation of a salt wedge intrusion (from the marine environment) that renders the bottom waters more saline than waters in the surface layer above.",,1.1.2,A,2.2,https://w3id.org/CMECS/CMECS_00000307,CMECS_00000307,Original Unit,,,
